predictor_month,predictor_month_end,outcome_month,outcome_month_end,security_key,issuer_id,attention_z,attention_log,attention_percentile_midrank,structural_ambiguity_tier,pit_alias_transition_month_flag,preregistration_sha256,analysis_month_number,gics_sector,current_momentum_decile,current_winner,forward_return_1m,forward_return_1m_complete,out_of_scope_right_censored,sector_valid_security_count,leave_one_out_sector_peers,sector_peer_mean_excl,sector_relative_return_1m,attention_x_current_winner,h3a_h3c_eligible,next_momentum_decile,next_momentum_12_1_complete,winner_entry,h3b_eligible,__current_join,__next_join
2021-01,2021-01-31,2021-02,2021-02-28,A,0001090872,1.2336020646685966,5.012581274439576,0.8944223107569721,MEDIUM,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Health Care,9,0,0.015811006248902082,1.0,0.0,63.0,62.0,-0.020788004111248166,0.036599010360150244,0.0,1,9,1.0,0,1,both,both
2021-01,2021-01-31,2021-02,2021-02-28,AAL,0000006201,1.1985501987250502,4.946419848499159,0.8894422310756972,LOW,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Industrials,1,0,0.2195690414121656,1.0,0.0,71.0,70.0,0.07078525906477441,0.1487837823473912,0.0,1,1,1.0,0,1,both,both
2021-01,2021-01-31,2021-02,2021-02-28,AAP,0001158449,-0.4757724188258016,1.7860867569636407,0.3276892430278884,LOW,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Consumer Discretionary,7,0,0.07516417370106554,1.0,0.0,61.0,60.0,0.10581767164710074,-0.030653497946035196,-0.0,1,4,1.0,0,1,both,both
2021-01,2021-01-31,2021-02,2021-02-28,AAPL,0000320193,2.3053782455621383,7.035590278613495,0.9890438247011952,HIGH,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Information Technology,10,1,-0.07971203081422185,1.0,0.0,74.0,73.0,0.05192561264802164,-0.1316376434622435,2.3053782455621383,1,10,1.0,,0,both,both
2021-01,2021-01-31,2021-02,2021-02-28,ABBV,0001551152,0.9891003012364568,4.551077018441606,0.850597609561753,HIGH,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Health Care,9,0,0.05132724179889259,1.0,0.0,63.0,62.0,-0.02136084662011898,0.07268808841901156,0.0,1,7,1.0,0,1,both,both
2021-01,2021-01-31,2021-02,2021-02-28,ABMD,0000815094,0.0223863731392543,2.72637610059649,0.5079681274900398,HIGH,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Health Care,10,1,-0.06805455850681974,1.0,0.0,63.0,62.0,-0.019435333711962332,-0.048619224794857405,0.0223863731392543,1,10,1.0,,0,both,both
2021-01,2021-01-31,2021-02,2021-02-28,ABT,0000001800,1.611537392874656,5.7259453009836845,0.945219123505976,MEDIUM,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Health Care,8,0,-0.030827422152591932,1.0,0.0,63.0,62.0,-0.020035771395095037,-0.010791650757496895,0.0,1,9,1.0,0,1,both,both
2021-01,2021-01-31,2021-02,2021-02-28,ACN,0001467373,1.8021785139952544,6.085786013501897,0.9631474103585658,LOW,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Information Technology,8,0,0.03711953704928583,1.0,0.0,74.0,73.0,0.05032518021153523,-0.013205643162249397,0.0,1,8,1.0,0,1,both,both
2021-01,2021-01-31,2021-02,2021-02-28,ADBE,0000796343,0.3434059218529396,3.332309922546336,0.6314741035856574,HIGH,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Information Technology,9,0,0.001961820597581765,1.0,0.0,74.0,73.0,0.050806792765668164,-0.0488449721680864,0.0,1,7,1.0,0,1,both,both
2021-01,2021-01-31,2021-02,2021-02-28,ADI,0000006281,1.082727592175453,4.727801278583391,0.8695219123505976,MEDIUM,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Information Technology,9,0,0.06215649420436287,1.0,0.0,74.0,73.0,0.04998220819571226,0.012174286008650607,0.0,1,8,1.0,0,1,both,both
2021-01,2021-01-31,2021-02,2021-02-28,ADM,0000007084,1.332156542065006,5.198605743660725,0.9153386454183268,LOW,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Consumer Staples,6,0,0.13928285976814814,1.0,0.0,32.0,31.0,-0.009110498915710037,0.14839335868385817,0.0,1,8,1.0,0,1,both,both
2021-01,2021-01-31,2021-02,2021-02-28,ADP,0000008670,-0.2723061708249584,2.170135272958861,0.4013944223107569,LOW,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Information Technology,5,0,0.05390059916550083,1.0,0.0,74.0,73.0,0.05009530264829941,0.0038052965172014203,-0.0,1,4,1.0,0,1,both,both
2021-01,2021-01-31,2021-02,2021-02-28,ADSK,0000769397,0.6239923621176293,3.8619250653566017,0.7310756972111554,HIGH,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Information Technology,10,1,-0.005154427112248117,1.0,0.0,74.0,73.0,0.050904275611008305,-0.05605870272325642,0.6239923621176293,1,9,1.0,,0,both,both
2021-01,2021-01-31,2021-02,2021-02-28,AEE,0001002910,0.5458978644919301,3.714519408569645,0.703187250996016,HIGH,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Utilities,3,0,-0.03369104395196787,1.0,0.0,28.0,27.0,-0.051084663459291677,0.017393619507323807,0.0,1,2,1.0,0,1,both,both
2021-01,2021-01-31,2021-02,2021-02-28,AEP,0000004904,0.331529567533117,3.3098929551290057,0.6284860557768924,LOW,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Utilities,2,0,-0.06636673823704442,1.0,0.0,28.0,27.0,-0.04987445255984441,-0.016492285677200014,0.0,1,2,1.0,0,1,both,both
2021-01,2021-01-31,2021-02,2021-02-28,AES,0000874761,-1.4220288315127572,0.0,0.0737051792828685,HIGH,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Utilities,7,0,0.08897060211677976,1.0,0.0,28.0,27.0,-0.055627687387763816,0.14459828950454356,-0.0,1,9,1.0,0,1,both,both
2021-01,2021-01-31,2021-02,2021-02-28,AFL,0000004977,-0.9944052910510482,0.807151985808775,0.2041832669322709,HIGH,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Financials,2,0,0.06748972234776773,1.0,0.0,65.0,64.0,0.11652726314054859,-0.04903754079278086,-0.0,1,4,1.0,0,1,both,both
2021-01,2021-01-31,2021-02,2021-02-28,AIG,0000005272,0.254070394974787,3.16368649305712,0.5946215139442231,LOW,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Financials,1,0,0.17387822856893131,1.0,0.0,65.0,64.0,0.11486494273084291,0.0590132858380884,0.0,1,2,1.0,0,1,both,both
2021-01,2021-01-31,2021-02,2021-02-28,AIZ,0001267238,-1.4220288315127572,0.0,0.0737051792828685,HIGH,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Financials,5,0,-0.08550949114290929,1.0,0.0,65.0,64.0,0.11891787585134042,-0.2044273669942497,-0.0,1,5,1.0,0,1,both,both
2021-01,2021-01-31,2021-02,2021-02-28,AJG,0000354190,-1.4220288315127572,0.0,0.0737051792828685,LOW,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Financials,7,0,0.038038372407176,1.0,0.0,65.0,64.0,0.11698744048337034,-0.07894906807619434,-0.0,1,6,1.0,0,1,both,both
2021-01,2021-01-31,2021-02,2021-02-28,AKAM,0001086222,0.4043548978255943,3.4473529038944237,0.646414342629482,MEDIUM,0,95e88d99f2b0c9beca50073844b9dadc32c11a6aa820fe04cf3ed12e94841506,1.0,Information Technology,6,0,-0.14887867207764438,1.0,0.0,74.0,73.0,0.052873100884506884,-0.20175177296215127,0.0,1,7,1.0,0,1,both,both
