security_key,issuer_cik,issuer_cik_source,latest_project_ticker,structural_ambiguity_tier,ticker_like_exact_name_flag,membership_valid_from,membership_valid_to_exclusive,alias_valid_from,alias_valid_to_exclusive,authoritative_state_name,authoritative_name_source_layer,state_basis,full_normalized_alias,legal_core_alias,production_alias,alias_selection_reason,bare_ticker_qualification_source,matching_mode,policy_id,policy_sha256,bare_ticker_alias_flag
CXO,,,CXO,MEDIUM,0,2021-01-01,2021-01-21,2021-01-01,2021-01-21,Concho Resources,STAGE3I_MEMBERSHIP_NAME,STABLE,concho resources,concho resources,concho resources,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
CZR,0001590895,STAGE3I_RESOLVED_CIK,CZR,MEDIUM,0,2021-03-22,2025-09-22,2021-03-22,2025-09-22,Caesars Entertainment,STAGE3I_MEMBERSHIP_NAME,STABLE,caesars entertainment,caesars entertainment,caesars entertainment,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
D,0000715957,STAGE3B2_CANDIDATE_CIK,D,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Dominion Energy Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,dominion energy inc,dominion energy,dominion energy,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DAL,0000027904,STAGE3B2_CANDIDATE_CIK,DAL,LOW,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Delta Air Lines Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,delta air lines inc,delta air lines,delta air lines,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DASH,0001792789,STAGE3B2_CANDIDATE_CIK,DASH,HIGH,0,2025-03-24,2026-01-01,2025-03-24,2026-01-01,DoorDash Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,doordash inc,doordash,doordash inc,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DAY,,,DAY,MEDIUM,0,2021-09-20,2026-01-01,2021-09-20,2024-02-01,CERIDIAN HCM,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STAGE3C_EXACT_EVENT,ceridian hcm,ceridian hcm,ceridian hcm,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DAY,,,DAY,MEDIUM,0,2021-09-20,2026-01-01,2024-02-01,2026-01-01,DAYFORCE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,POST_TRANSITION,dayforce,dayforce,dayforce,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DD,0001666700,STAGE3B2_CANDIDATE_CIK,DD,LOW,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,DuPont de Nemours Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,dupont de nemours inc,dupont de nemours,dupont de nemours,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DDOG,0001561550,STAGE3B2_CANDIDATE_CIK,DDOG,HIGH,0,2025-07-09,2026-01-01,2025-07-09,2026-01-01,Datadog Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,datadog inc,datadog,datadog inc,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DE,0000315189,STAGE3B2_CANDIDATE_CIK,DE,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Deere & Co,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,deere and co,deere and,deere and co,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DECK,0000910521,STAGE3B2_CANDIDATE_CIK,DECK,MEDIUM,0,2024-03-18,2026-01-01,2024-03-18,2026-01-01,Deckers Outdoor Corp,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,deckers outdoor corp,deckers outdoor,deckers outdoor,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DELL,0001571996,STAGE3B2_CANDIDATE_CIK,DELL,MEDIUM,0,2024-09-23,2026-01-01,2024-09-23,2026-01-01,Dell Technologies Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,dell technologies inc,dell technologies,dell technologies,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DFS,0001393612,STAGE3I_RESOLVED_CIK,DFS,LOW,0,2021-01-01,2025-05-19,2021-01-01,2025-05-19,Discover Financial Services,STAGE3I_MEMBERSHIP_NAME,STABLE,discover financial services,discover financial services,discover financial services,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DG,0000029534,STAGE3B2_CANDIDATE_CIK,DG,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Dollar General Corp,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,dollar general corp,dollar general,dollar general,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DGX,0001022079,STAGE3B2_CANDIDATE_CIK,DGX,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Quest Diagnostics Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,quest diagnostics inc,quest diagnostics,quest diagnostics,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DHI,0000882184,STAGE3B2_CANDIDATE_CIK,DHI,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,DR Horton Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,dr horton inc,dr horton,dr horton,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DHR,,,DHR,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Danaher Corp,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,danaher corp,danaher,danaher corp,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DIS,0001744489,STAGE3B2_CANDIDATE_CIK,DIS,LOW,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Walt Disney Co/The,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,walt disney co,walt disney,walt disney,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DISCA,0001437107,STAGE3I_RESOLVED_CIK,DISCA,LOW,0,2021-01-01,2022-04-11,2021-01-01,2022-04-11,Discovery Inc Class A,STAGE3I_MEMBERSHIP_NAME,STABLE,discovery inc,discovery,discovery,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DISCK,0001437107,STAGE3I_RESOLVED_CIK,DISCK,LOW,0,2021-01-01,2022-04-11,2021-01-01,2022-04-11,Discovery Inc Class C,STAGE3I_MEMBERSHIP_NAME,STABLE,discovery inc,discovery,discovery,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DISH,,,DISH,MEDIUM,0,2021-01-01,2023-06-20,2021-01-01,2023-06-20,DISH Network,STAGE3I_MEMBERSHIP_NAME,STABLE,dish network,dish network,dish network,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DLR,0001297996,STAGE3B2_CANDIDATE_CIK,DLR,LOW,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Digital Realty Trust Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,digital realty trust inc,digital realty trust,digital realty trust,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DLTR,0000935703,STAGE3B2_CANDIDATE_CIK,DLTR,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Dollar Tree Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,dollar tree inc,dollar tree,dollar tree,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DOC,0000765880,STAGE3B2_CANDIDATE_CIK,DOC,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Healthpeak Properties Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,healthpeak properties inc,healthpeak properties,healthpeak properties,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DOV,0000029905,STAGE3B2_CANDIDATE_CIK,DOV,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Dover Corp,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,dover corp,dover,dover corp,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DOW,0001751788,STAGE3B2_CANDIDATE_CIK,DOW,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Dow Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,dow inc,dow,dow inc,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DPZ,0001286681,STAGE3B2_CANDIDATE_CIK,DPZ,LOW,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Domino's Pizza Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,dominos pizza inc,dominos pizza,dominos pizza,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DRE,0000783280,STAGE3I_RESOLVED_CIK,DRE,MEDIUM,0,2021-01-01,2022-10-03,2021-01-01,2022-10-03,Duke Realty,STAGE3I_MEMBERSHIP_NAME,STABLE,duke realty,duke realty,duke realty,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DRI,0000940944,STAGE3B2_CANDIDATE_CIK,DRI,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Darden Restaurants Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,darden restaurants inc,darden restaurants,darden restaurants,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DTE,0000936340,STAGE3B2_CANDIDATE_CIK,DTE,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,DTE Energy Co,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,dte energy co,dte energy,dte energy,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DUK,0001326160,STAGE3B2_CANDIDATE_CIK,DUK,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Duke Energy Corp,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,duke energy corp,duke energy,duke energy,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DVA,0000927066,STAGE3B2_CANDIDATE_CIK,DVA,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,DaVita Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,davita inc,davita,davita inc,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DVN,0001090012,STAGE3B2_CANDIDATE_CIK,DVN,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Devon Energy Corp,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,devon energy corp,devon energy,devon energy,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DXC,0001688568,STAGE3I_RESOLVED_CIK,DXC,MEDIUM,0,2021-01-01,2023-10-03,2021-01-01,2023-10-03,DXC Technologies,STAGE3I_MEMBERSHIP_NAME,STABLE,dxc technologies,dxc technologies,dxc technologies,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
DXCM,0001093557,STAGE3B2_CANDIDATE_CIK,DXCM,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Dexcom Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,dexcom inc,dexcom,dexcom inc,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
EA,,,EA,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Electronic Arts Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,electronic arts inc,electronic arts,electronic arts,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
EBAY,0001065088,STAGE3B2_CANDIDATE_CIK,EBAY,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,eBay Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,ebay inc,ebay,ebay inc,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ECL,0000031462,STAGE3B2_CANDIDATE_CIK,ECL,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Ecolab Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,ecolab inc,ecolab,ecolab inc,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ED,0001047862,STAGE3B2_CANDIDATE_CIK,ED,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Consolidated Edison Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,consolidated edison inc,consolidated edison,consolidated edison,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
EFX,0000033185,STAGE3B2_CANDIDATE_CIK,EFX,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Equifax Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,equifax inc,equifax,equifax inc,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
EG,0001095073,STAGE3B2_CANDIDATE_CIK,EG,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2023-07-10,EVEREST RE GROUP,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STAGE3D_AUTHORITATIVE_RENAME,everest re group,everest re group,everest re group,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
EG,0001095073,STAGE3B2_CANDIDATE_CIK,EG,MEDIUM,0,2021-01-01,2026-01-01,2023-07-10,2026-01-01,EVEREST GROUP,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,POST_TRANSITION,everest group,everest group,everest group,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
EIX,0000827052,STAGE3B2_CANDIDATE_CIK,EIX,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Edison International,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,edison international,edison international,edison international,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
EL,0001001250,STAGE3G_SAMPLE_CIK,EL,LOW,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,The Estée Lauder Companies Inc.,STAGE3G_AUTHORITATIVE_SAMPLE_NAME,STABLE,est e lauder companies inc,est e lauder companies,est e lauder companies,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ELV,0001156039,STAGE3B2_CANDIDATE_CIK,ELV,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2022-06-28,ANTHEM,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STAGE3D_AUTHORITATIVE_RENAME,anthem,anthem,anthem,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ELV,0001156039,STAGE3B2_CANDIDATE_CIK,ELV,MEDIUM,0,2021-01-01,2026-01-01,2022-06-28,2026-01-01,ELEVANCE HEALTH,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,POST_TRANSITION,elevance health,elevance health,elevance health,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
EME,0000105634,STAGE3B2_CANDIDATE_CIK,EME,MEDIUM,0,2025-09-22,2026-01-01,2025-09-22,2026-01-01,EMCOR Group Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,emcor group inc,emcor group,emcor group,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
EMN,0000915389,STAGE3I_RESOLVED_CIK,EMN,MEDIUM,0,2021-01-01,2025-11-04,2021-01-01,2025-11-04,Eastman Chemical Co,STAGE3I_MEMBERSHIP_NAME,STABLE,eastman chemical co,eastman chemical,eastman chemical,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
EMR,0000032604,STAGE3B2_CANDIDATE_CIK,EMR,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Emerson Electric Co,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,emerson electric co,emerson electric,emerson electric,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ENPH,0001463101,STAGE3I_RESOLVED_CIK,ENPH,MEDIUM,0,2021-01-07,2025-09-22,2021-01-07,2025-09-22,Enphase Energy,STAGE3I_MEMBERSHIP_NAME,STABLE,enphase energy,enphase energy,enphase energy,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
EOG,0000821189,STAGE3B2_CANDIDATE_CIK,EOG,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,EOG Resources Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,eog resources inc,eog resources,eog resources,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
