security_key,latest_project_ticker,candidate_sec_cik,sec_current_name,authoritative_registry_core,former_name,former_name_registry_core,former_name_from,former_name_to,date_complete_flag,same_core_as_authoritative_flag
GEV,GEV,0001996810,GE Vernova Inc.,GE VERNOVA,GE Vernova LLC,GE VERNOVA,2023-10-27T04:00:00.000Z,2024-03-13T04:00:00.000Z,1,1
GILD,GILD,0000882095,"GILEAD SCIENCES, INC.",GILEAD SCIENCES,GILEAD SCIENCES INC,GILEAD SCIENCES,1994-02-14T05:00:00.000Z,2022-02-17T05:00:00.000Z,1,1
HBAN,HBAN,0000049196,HUNTINGTON BANCSHARES INC /MD/,,HUNTINGTON BANCSHARES INC /MD/,HUNTINGTON BANCSHARES,2021-03-26T04:00:00.000Z,2026-08-13T04:00:00.000Z,1,0
HBAN,HBAN,0000049196,HUNTINGTON BANCSHARES INC /MD/,,HUNTINGTON BANCSHARES INC/MD,HUNTINGTON BANCSHARES INC MD,1994-02-14T05:00:00.000Z,2021-03-12T05:00:00.000Z,1,0
HII,HII,0001501585,"HUNTINGTON INGALLS INDUSTRIES, INC.",HUNTINGTON INGALLS INDUSTRIES,"HUNTINGTON INGALLS INDUSTRIES, INC.",HUNTINGTON INGALLS INDUSTRIES,2010-12-09T05:00:00.000Z,2026-08-11T04:00:00.000Z,1,1
INTU,INTU,0000896878,INTUIT INC.,INTUIT,INTUIT INC,INTUIT,1996-10-17T04:00:00.000Z,2023-03-08T05:00:00.000Z,1,1
IVZ,IVZ,0000914208,Invesco Ltd.,INVESCO,Invesco Asset Management Deutschland GMBH,INVESCO ASSET MANAGEMENT DEUTSCHLAND GMBH,2021-11-08T05:00:00.000Z,2021-11-08T05:00:00.000Z,1,0
J,J,0000052988,JACOBS SOLUTIONS INC.,JACOBS SOLUTIONS,JACOBS ENGINEERING GROUP INC /DE/,JACOBS ENGINEERING GROUP,1994-05-12T04:00:00.000Z,2022-08-19T04:00:00.000Z,1,0
JKHY,JKHY,0000779152,JACK HENRY & ASSOCIATES INC,JACK HENRY AND ASSOCIATES,HENRY JACK & ASSOCIATES INC,HENRY JACK AND ASSOCIATES,1995-11-14T00:00:00.000Z,2023-03-16T00:00:00.000Z,1,0
JPM,JPM,0000019617,JPMORGAN CHASE & CO,JPMORGAN CHASE AND,JPMORGAN CHASE & CO,JPMORGAN CHASE AND,2009-02-02T00:00:00.000Z,2026-08-24T00:00:00.000Z,1,1
KVUE,KVUE,0001944048,Kenvue Inc.,KENVUE,"JNTL, Inc.",JNTL,2022-08-30T04:00:00.000Z,2022-08-30T04:00:00.000Z,1,0
LH,LH,0000920148,LABCORP HOLDINGS INC.,LABCORP HOLDINGS,LABORATORY CORP OF AMERICA HOLDINGS,LABORATORY CORP OF AMERICA HOLDINGS,1995-09-26T04:00:00.000Z,2024-05-16T04:00:00.000Z,1,0
LMT,LMT,0000936468,LOCKHEED MARTIN CORP,LOCKHEED MARTIN,LOCKHEED MARTIN CORP,LOCKHEED MARTIN,1995-03-09T05:00:00.000Z,2026-08-17T04:00:00.000Z,1,1
LNT,LNT,0000352541,ALLIANT ENERGY CORP,ALLIANT ENERGY,ALLIANT ENERGY CORP,ALLIANT ENERGY,1999-12-15T05:00:00.000Z,2026-08-21T04:00:00.000Z,1,1
MAR,MAR,0001048286,MARRIOTT INTERNATIONAL INC /MD/,,MARRIOTT INTERNATIONAL INC /MD/,MARRIOTT INTERNATIONAL,1998-04-09T04:00:00.000Z,2026-08-19T04:00:00.000Z,1,0
MKC,MKC,0000063754,MCCORMICK & CO INC,,MCCORMICK & CO INC,MCCORMICK AND,1994-04-08T04:00:00.000Z,2026-08-12T04:00:00.000Z,1,0
MPWR,MPWR,0001280452,"MONOLITHIC POWER SYSTEMS, INC.",MONOLITHIC POWER SYSTEMS,MONOLITHIC POWER SYSTEMS INC,MONOLITHIC POWER SYSTEMS,2004-07-13T00:00:00.000Z,2026-07-15T00:00:00.000Z,1,1
MS,MS,0000895421,MORGAN STANLEY,MORGAN STANLEY,MORGAN STANLEY,MORGAN STANLEY,1999-11-23T00:00:00.000Z,2026-08-24T00:00:00.000Z,1,1
MS,MS,0000895421,MORGAN STANLEY,MORGAN STANLEY,MORGAN STANLEY,MORGAN STANLEY,1999-11-23T00:00:00.000Z,2026-08-24T00:00:00.000Z,1,1
NRG,NRG,0001013871,"NRG ENERGY, INC.",NRG ENERGY,"NRG ENERGY, INC.",NRG ENERGY,2004-12-02T05:00:00.000Z,2026-08-13T04:00:00.000Z,1,1
PANW,PANW,0001327567,Palo Alto Networks Inc,PALO ALTO NETWORKS,Palo Alto Networks Inc,PALO ALTO NETWORKS,2005-05-16T00:00:00.000Z,2026-08-24T00:00:00.000Z,1,1
PCG,PCG,0001004980,PG&E Corp,PG AND E,PG&E CORP,PG AND E,2012-08-09T00:00:00.000Z,2026-08-24T00:00:00.000Z,1,1
PCG,PCG,0001004980,PG&E Corp,PG AND E,PG&E Corp,PG AND E,2012-08-09T00:00:00.000Z,2026-08-24T00:00:00.000Z,1,1
PFE,PFE,0000078003,PFIZER INC,PFIZER,PFIZER INC,PFIZER,1994-03-18T05:00:00.000Z,2026-08-17T04:00:00.000Z,1,1
PH,PH,0000076334,Parker-Hannifin Corp,PARKER HANNIFIN,PARKER HANNIFIN CORP,PARKER HANNIFIN,1994-02-11T00:00:00.000Z,2024-12-11T00:00:00.000Z,1,1
PSKY,PSKY,0002041610,Paramount Skydance Corp,PARAMOUNT SKYDANCE,"New Pluto Global, Inc.",NEW PLUTO GLOBAL,2024-11-04T05:00:00.000Z,2025-08-01T04:00:00.000Z,1,0
Q,Q,0002058873,"Qnity Electronics, Inc.",QNITY ELECTRONICS,"Novus SpinCo 1, Inc.",NOVUS SPINCO 1,2025-04-24T04:00:00.000Z,2025-04-24T04:00:00.000Z,1,0
ROP,ROP,0000882835,ROPER TECHNOLOGIES INC,ROPER TECHNOLOGIES,ROPER TECHNOLOGIES INC,ROPER TECHNOLOGIES,2015-04-27T04:00:00.000Z,2026-08-14T04:00:00.000Z,1,1
SO,SO,0000092122,SOUTHERN CO,SOUTHERN,SOUTHERN CO,SOUTHERN,1994-01-28T05:00:00.000Z,2026-08-07T04:00:00.000Z,1,1
SOLV,SOLV,0001964738,Solventum Corp,SOLVENTUM,3M Health Care Co,3M HEALTH CARE,2023-02-14T05:00:00.000Z,2024-02-09T05:00:00.000Z,1,0
SPG,SPG,0001063761,SIMON PROPERTY GROUP INC.,SIMON PROPERTY GROUP,SIMON PROPERTY GROUP INC /DE/,SIMON PROPERTY GROUP,1998-09-28T00:00:00.000Z,2025-11-03T00:00:00.000Z,1,1
STLD,STLD,0001022671,STEEL DYNAMICS INC,STEEL DYNAMICS,STEEL DYNAMICS INC,STEEL DYNAMICS,1996-11-20T05:00:00.000Z,2026-08-18T04:00:00.000Z,1,1
STT,STT,0000093751,STATE STREET CORP,STATE STREET,STATE STREET CORP,STATE STREET,2009-02-24T05:00:00.000Z,2026-08-18T04:00:00.000Z,1,1
STT,STT,0000093751,STATE STREET CORP,STATE STREET,STATE STREET Corp,STATE STREET,2009-02-24T05:00:00.000Z,2026-08-18T04:00:00.000Z,1,1
SW,SW,0002005951,Smurfit Westrock plc,SMURFIT WESTROCK,Smurfit WestRock Ltd,SMURFIT WESTROCK,2024-02-14T05:00:00.000Z,2024-06-20T04:00:00.000Z,1,1
SYF,SYF,0001601712,Synchrony Financial,SYNCHRONY FINANCIAL,Synchrony Financial,SYNCHRONY FINANCIAL,2014-03-13T04:00:00.000Z,2026-08-19T04:00:00.000Z,1,1
TEL,TEL,0001385157,TE Connectivity plc,TE CONNECTIVITY,TE Connectivity Ltd.,TE CONNECTIVITY,2008-02-29T05:00:00.000Z,2024-09-23T04:00:00.000Z,1,1
TKO,TKO,0001973266,"TKO Group Holdings, Inc.",TKO GROUP HOLDINGS,New Whale Inc.,NEW WHALE,2023-05-12T04:00:00.000Z,2023-09-07T04:00:00.000Z,1,0
TRGP,TRGP,0001389170,Targa Resources Corp.,TARGA RESOURCES,Targa Resources Corp.,TARGA RESOURCES,2010-10-12T00:00:00.000Z,2026-08-24T00:00:00.000Z,1,1
WBD,WBD,0001437107,"Warner Bros. Discovery, Inc.",WARNER BROS DISCOVERY,"Discovery, Inc.",DISCOVERY,2018-03-06T05:00:00.000Z,2022-04-08T04:00:00.000Z,1,0
WMT,WMT,0000104169,Walmart Inc.,WALMART,Walmart Inc.,WALMART,2018-01-31T05:00:00.000Z,2026-08-21T04:00:00.000Z,1,1
XYZ,XYZ,0001512673,"Block, Inc.",BLOCK,"Square, Inc.",SQUARE,2011-03-02T00:00:00.000Z,2021-12-08T00:00:00.000Z,1,0
