security_key,latest_project_ticker,canonical_company_name,candidate_sec_cik,original_reconciliation_status,sec_current_name,sec_current_registry_core,nport_raw_names_pipe,nport_registry_cores_pipe,nport_registry_core_count,sec_nport_authoritative_agreement_flag,project_period_sec_former_name_rows,former_name_date_complete_flag,former_name_registry_cores_pipe,all_former_names_same_authoritative_core_flag,stage3f_status,stage3f_rationale
AJG,AJG,ARTHUR J GALLAGHER + CO,0000354190,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Arthur J. Gallagher & Co.,ARTHUR J GALLAGHER AND,Arthur J Gallagher & Co,ARTHUR J GALLAGHER AND,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
BG,BG,Bunge,0001996862,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Bunge Global SA,BUNGE GLOBAL,Bunge Global SA,BUNGE GLOBAL,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
CBRE,CBRE,CBRE GROUP INC   A,0001138118,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,"CBRE GROUP, INC.",CBRE GROUP,CBRE Group Inc,CBRE GROUP,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
CDNS,CDNS,CADENCE DESIGN SYS INC,0000813672,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,CADENCE DESIGN SYSTEMS INC,CADENCE DESIGN SYSTEMS,Cadence Design Systems Inc,CADENCE DESIGN SYSTEMS,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
CHD,CHD,CHURCH + DWIGHT CO INC,0000313927,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,CHURCH & DWIGHT CO INC /DE/,CHURCH AND DWIGHT,Church & Dwight Co Inc,CHURCH AND DWIGHT,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
CHTR,CHTR,CHARTER COMMUNICATIONS INC A,0001091667,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,"CHARTER COMMUNICATIONS, INC. /MO/",CHARTER COMMUNICATIONS,Charter Communications Inc,CHARTER COMMUNICATIONS,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
CRL,CRL,Charles River Laboratories Intl,0001100682,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",CHARLES RIVER LABORATORIES INTERNATIONAL,Charles River Laboratories International Inc,CHARLES RIVER LABORATORIES INTERNATIONAL,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
CTSH,CTSH,COGNIZANT TECH SOLUTIONS A,0001058290,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,COGNIZANT TECHNOLOGY SOLUTIONS CORP,COGNIZANT TECHNOLOGY SOLUTIONS,Cognizant Technology Solutions Corp,COGNIZANT TECHNOLOGY SOLUTIONS,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
DE,DE,DEERE + CO,0000315189,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,DEERE & CO,DEERE AND,Deere & Co,DEERE AND,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
EXPD,EXPD,EXPEDITORS INTL WASH INC,0000746515,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,EXPEDITORS INTERNATIONAL OF WASHINGTON,Expeditors International of Washington Inc,EXPEDITORS INTERNATIONAL OF WASHINGTON,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
FICO,FICO,Fair Isaac & Co,0000814547,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,FAIR ISAAC CORP,FAIR ISAAC,Fair Isaac Corp,FAIR ISAAC,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
FIS,FIS,FIDELITY NATIONAL INFO SERV,0001136893,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,"Fidelity National Information Services, Inc.",FIDELITY NATIONAL INFORMATION SERVICES,Fidelity National Information Services Inc,FIDELITY NATIONAL INFORMATION SERVICES,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
HLT,HLT,HILTON WORLDWIDE HOLDINGS IN,0001585689,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Hilton Worldwide Holdings Inc.,HILTON WORLDWIDE HOLDINGS,Hilton Worldwide Holdings Inc,HILTON WORLDWIDE HOLDINGS,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
HST,HST,HOST HOTELS + RESORTS INC,0001070750,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,"HOST HOTELS & RESORTS, INC.",HOST HOTELS AND RESORTS,Host Hotels & Resorts Inc,HOST HOTELS AND RESORTS,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
IBM,IBM,INTL BUSINESS MACHINES CORP,0000051143,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,INTERNATIONAL BUSINESS MACHINES CORP,INTERNATIONAL BUSINESS MACHINES,International Business Machines Corp,INTERNATIONAL BUSINESS MACHINES,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
ICE,ICE,INTERCONTINENTAL EXCHANGE IN,0001571949,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,"Intercontinental Exchange, Inc.",INTERCONTINENTAL EXCHANGE,Intercontinental Exchange Inc,INTERCONTINENTAL EXCHANGE,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
IFF,IFF,INTL FLAVORS + FRAGRANCES,0000051253,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,INTERNATIONAL FLAVORS & FRAGRANCES INC,INTERNATIONAL FLAVORS AND FRAGRANCES,International Flavors & Fragrances Inc,INTERNATIONAL FLAVORS AND FRAGRANCES,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
JCI,JCI,JOHNSON CONTROLS INTERNATION,0000833444,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Johnson Controls International plc,JOHNSON CONTROLS INTERNATIONAL,Johnson Controls International plc,JOHNSON CONTROLS INTERNATIONAL,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
JNJ,JNJ,JOHNSON + JOHNSON,0000200406,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,JOHNSON & JOHNSON,JOHNSON AND JOHNSON,Johnson & Johnson,JOHNSON AND JOHNSON,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
KEYS,KEYS,KEYSIGHT TECHNOLOGIES IN,0001601046,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,"Keysight Technologies, Inc.",KEYSIGHT TECHNOLOGIES,Keysight Technologies Inc,KEYSIGHT TECHNOLOGIES,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
LEN,LEN,LENNAR CORP A,0000920760,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,LENNAR CORP /NEW/,LENNAR,Lennar Corp,LENNAR,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
LLY,LLY,ELI LILLY + CO,0000059478,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,ELI LILLY & Co,ELI LILLY AND,Eli Lilly & Co|Eli Lilly and Co,ELI LILLY AND,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
