security_key,issuer_cik,latest_project_ticker,structural_ambiguity_tier,eligible_anchor_windows,nonzero_anchor_windows,total_matched_source_document_weight,total_source_document_weight,any_nonzero_window_flag,two_plus_nonzero_windows_flag,nonzero_window_rate
MPC,0001510295,MPC,MEDIUM,5,5,194,3470614,1,1,1.0
MPWR,0001280452,MPWR,LOW,4,3,17,2701747,1,1,0.75
MRK,0000310158,MRK,HIGH,5,0,0,3470614,0,0,0.0
MRNA,0001682852,MRNA,HIGH,4,4,188,2701747,1,1,1.0
MRO,0000101778,MRO,MEDIUM,4,4,266,2873133,1,1,1.0
MRSH,0000062709,MRSH,LOW,5,0,0,3470614,0,0,0.0
MS,0000895421,MS,MEDIUM,5,5,9581,3470614,1,1,1.0
MSCI,0001408198,MSCI,HIGH,5,4,6,3470614,1,1,0.8
MSFT,0000789019,MSFT,HIGH,5,5,951,3470614,1,1,1.0
MSI,0000068505,MSI,MEDIUM,5,5,134,3470614,1,1,1.0
MTB,0000036270,MTB,HIGH,5,0,0,3470614,0,0,0.0
MTCH,0000891103,MTCH,MEDIUM,4,0,0,2701747,0,0,0.0
MTD,0001037646,MTD,LOW,5,5,31,3470614,1,1,1.0
MU,0000723125,MU,MEDIUM,5,5,383,3470614,1,1,1.0
MXIM,0000743316,MXIM,LOW,1,1,14,768867,1,0,1.0
NCLH,0001513761,NCLH,LOW,5,5,135,3470614,1,1,1.0
NDAQ,0001120193,NDAQ,HIGH,5,5,117,3470614,1,1,1.0
NDSN,0000072331,NDSN,HIGH,4,3,6,2701747,1,1,0.75
NEE,0000753308,NEE,MEDIUM,5,5,354,3470614,1,1,1.0
NEM,0001164727,NEM,HIGH,5,5,48,3470614,1,1,1.0
NFLX,0001065280,NFLX,HIGH,5,5,478,3470614,1,1,1.0
NI,0001111711,NI,HIGH,5,5,20,3470614,1,1,1.0
NKE,0000320187,NKE,LOW,5,5,220,3470614,1,1,1.0
NLSN,,NLSN,HIGH,2,2,14,1358483,1,1,1.0
NOC,,NOC,MEDIUM,5,5,969,3470614,1,1,1.0
NOV,0001021860,NOV,HIGH,1,0,0,768867,0,0,0.0
NOW,0001373715,NOW,HIGH,5,5,70,3470614,1,1,1.0
NRG,0001013871,NRG,MEDIUM,5,2,4,3470614,1,1,0.4
NSC,0000702165,NSC,MEDIUM,5,5,420,3470614,1,1,1.0
NTAP,0001002047,NTAP,HIGH,5,5,36,3470614,1,1,1.0
NTRS,0000073124,NTRS,MEDIUM,5,5,249,3470614,1,1,1.0
NUE,0000073309,NUE,HIGH,5,3,7,3470614,1,1,0.6
NVDA,0001045810,NVDA,HIGH,5,5,454,3470614,1,1,1.0
NVR,0000906163,NVR,HIGH,5,4,11,3470614,1,1,0.8
NWL,0000814453,NWL,MEDIUM,3,3,18,2176828,1,1,1.0
NWS,0001564708,NWS,LOW,5,5,622,3470614,1,1,1.0
NWSA,0001564708,NWSA,LOW,5,5,622,3470614,1,1,1.0
NXPI,0001413447,NXPI,MEDIUM,4,3,10,2701747,1,1,0.75
O,0000726728,O,MEDIUM,5,5,82,3470614,1,1,1.0
ODFL,0000878927,ODFL,LOW,5,5,36,3470614,1,1,1.0
OGN,0001821825,OGN,HIGH,2,1,5,1407961,1,0,0.5
OKE,,OKE,HIGH,5,4,24,3470614,1,1,0.8
OMC,0000029989,OMC,MEDIUM,5,5,63,3470614,1,1,1.0
ON,0001097864,ON,MEDIUM,3,0,0,2112131,0,0,0.0
ORCL,0001341439,ORCL,HIGH,5,5,195,3470614,1,1,1.0
ORLY,0000898173,ORLY,LOW,5,5,57,3470614,1,1,1.0
OTIS,0001781335,OTIS,MEDIUM,5,5,43,3470614,1,1,1.0
OXY,0000797468,OXY,MEDIUM,5,5,393,3470614,1,1,1.0
PANW,0001327567,PANW,LOW,3,3,219,2112131,1,1,1.0
PAYC,0001590955,PAYC,MEDIUM,5,4,16,3470614,1,1,0.8
PAYX,0000723531,PAYX,HIGH,5,4,38,3470614,1,1,0.8
PBCT,0001378946,PBCT,LOW,1,0,0,768867,0,0,0.0
PCAR,0000075362,PCAR,HIGH,5,3,16,3470614,1,1,0.6
PCG,0001004980,PCG,HIGH,3,0,0,2112131,0,0,0.0
PEG,0000788784,PEG,LOW,5,5,47,3470614,1,1,1.0
PENN,0000921738,PENN,LOW,1,1,31,589616,1,0,1.0
PEP,0000077476,PEP,HIGH,5,5,409,3470614,1,1,1.0
PFE,0000078003,PFE,HIGH,5,5,1510,3470614,1,1,1.0
PFG,0001126328,PFG,LOW,5,5,223,3470614,1,1,1.0
PG,0000080424,PG,LOW,5,1,1,3470614,1,0,0.2
PGR,0000080661,PGR,HIGH,5,4,21,3470614,1,1,0.8
PH,0000076334,PH,MEDIUM,5,5,172,3470614,1,1,1.0
PHM,0000822416,PHM,HIGH,5,4,14,3470614,1,1,0.8
PKG,0000075677,PKG,LOW,5,0,0,3470614,0,0,0.0
PLD,0001045609,PLD,HIGH,5,4,33,3470614,1,1,0.8
PLTR,0001321655,PLTR,MEDIUM,2,2,95,1293786,1,1,1.0
PM,0001413329,PM,LOW,5,5,142,3470614,1,1,1.0
PNC,0000713676,PNC,LOW,5,1,1,3470614,1,0,0.2
PNR,0000077360,PNR,HIGH,5,3,6,3470614,1,1,0.6
PNW,0000764622,PNW,LOW,5,5,16,3470614,1,1,1.0
PODD,0001145197,PODD,HIGH,3,2,2,2112131,1,1,0.6666666666666666
POOL,0000945841,POOL,HIGH,5,4,12,3470614,1,1,0.8
PPG,0000079879,PPG,MEDIUM,5,4,9,3470614,1,1,0.8
PPL,0000922224,PPL,HIGH,5,1,1,3470614,1,0,0.2
PRGO,0001585364,PRGO,HIGH,1,1,9,768867,1,0,1.0
PRU,0001137774,PRU,MEDIUM,5,5,228,3470614,1,1,1.0
PSA,0001393311,PSA,MEDIUM,5,2,4,3470614,1,1,0.4
PSKY,0002041610,PSKY,LOW,5,0,0,3470614,0,0,0.0
PSX,0001534701,PSX,MEDIUM,5,0,0,3470614,0,0,0.0
PTC,0000857005,PTC,HIGH,4,4,12,2701747,1,1,1.0
PVH,0000078239,PVH,HIGH,2,1,1,1358483,1,0,0.5
PWR,0001050915,PWR,MEDIUM,5,5,66,3470614,1,1,1.0
PXD,0001038357,PXD,LOW,3,3,53,2176828,1,1,1.0
PYPL,0001633917,PYPL,HIGH,5,5,206,3470614,1,1,1.0
Q,0002058873,Q,MEDIUM,1,1,6,597481,1,0,1.0
QCOM,0000804328,QCOM,HIGH,5,5,230,3470614,1,1,1.0
QRVO,0001604778,QRVO,HIGH,4,4,44,2873133,1,1,1.0
RCL,0000884887,RCL,LOW,5,5,46,3470614,1,1,1.0
REG,0000910606,REG,MEDIUM,5,5,15,3470614,1,1,1.0
REGN,0000872589,REGN,MEDIUM,5,5,402,3470614,1,1,1.0
RF,0001281761,RF,MEDIUM,5,5,37,3470614,1,1,1.0
RHI,0000315213,RHI,MEDIUM,3,3,9,2176828,1,1,1.0
RJF,0000720005,RJF,LOW,5,5,626,3470614,1,1,1.0
RL,0001037038,RL,MEDIUM,5,5,104,3470614,1,1,1.0
RMD,0000943819,RMD,HIGH,5,5,28,3470614,1,1,1.0
ROK,0001024478,ROK,MEDIUM,5,5,332,3470614,1,1,1.0
ROL,0000084839,ROL,HIGH,5,5,30,3470614,1,1,1.0
ROP,0000882835,ROP,MEDIUM,5,5,25,3470614,1,1,1.0
ROST,0000745732,ROST,MEDIUM,5,5,61,3470614,1,1,1.0
RSG,0001060391,RSG,MEDIUM,5,5,102,3470614,1,1,1.0
RTX,0000101829,RTX,HIGH,5,4,137,3470614,1,1,0.8
RVTY,0000031791,RVTY,HIGH,5,5,133,3470614,1,1,1.0
SBAC,0001034054,SBAC,MEDIUM,5,2,3,3470614,1,1,0.4
SBNY,0001288784,SBNY,MEDIUM,1,1,3,589616,1,0,1.0
SBUX,0000829224,SBUX,HIGH,5,5,59,3470614,1,1,1.0
SCHW,0000316709,SCHW,MEDIUM,5,5,569,3470614,1,1,1.0
SEDG,0001419612,SEDG,MEDIUM,2,1,5,1407961,1,0,0.5
SEE,0000088204,SEE,MEDIUM,3,3,31,2176828,1,1,1.0
SHW,0000089800,SHW,LOW,5,5,135,3470614,1,1,1.0
SIVB,0000719739,SIVB,LOW,2,1,2,1358483,1,0,0.5
SJM,0000091419,SJM,LOW,5,5,118,3470614,1,1,1.0
SLB,0000087347,SLB,HIGH,5,0,0,3470614,0,0,0.0
SLG,0001040971,SLG,LOW,1,1,8,768867,1,0,1.0
SMCI,0001375365,SMCI,LOW,2,2,269,1293786,1,1,1.0
SNA,0000091440,SNA,HIGH,5,0,0,3470614,0,0,0.0
SNDK,0002023554,SNDK,HIGH,1,1,5,597481,1,0,1.0
SNPS,0000883241,SNPS,HIGH,5,5,94,3470614,1,1,1.0
SO,0000092122,SO,LOW,5,5,275,3470614,1,1,1.0
SOLS,0002064953,SOLS,LOW,1,0,0,597481,0,0,0.0
SOLV,0001964738,SOLV,HIGH,2,2,4,1293786,1,1,1.0
SPG,0001063761,SPG,LOW,5,5,114,3470614,1,1,1.0
SPGI,0000064040,SPGI,LOW,5,0,0,3470614,0,0,0.0
SRE,0001032208,SRE,HIGH,5,2,18,3470614,1,1,0.4
STE,0001757898,STE,HIGH,5,3,7,3470614,1,1,0.6
STLD,0001022671,STLD,MEDIUM,3,3,23,2112131,1,1,1.0
STT,0000093751,STT,MEDIUM,5,0,0,3470614,0,0,0.0
STX,0001137789,STX,MEDIUM,5,4,67,3470614,1,1,0.8
STZ,0000016918,STZ,LOW,5,5,78,3470614,1,1,1.0
SW,0002005951,SW,MEDIUM,5,2,18,3470614,1,1,0.4
SWK,0000093556,SWK,LOW,5,0,0,3470614,0,0,0.0
SWKS,0000004127,SWKS,MEDIUM,5,5,52,3470614,1,1,1.0
SYF,0001601712,SYF,MEDIUM,5,0,0,3470614,0,0,0.0
SYK,0000310764,SYK,HIGH,5,4,33,3470614,1,1,0.8
SYY,0000096021,SYY,HIGH,5,4,5,3470614,1,1,0.8
T,0000732717,T,HIGH,5,0,0,3470614,0,0,0.0
TAP,0000024545,TAP,LOW,5,5,101,3470614,1,1,1.0
TDG,0001260221,TDG,MEDIUM,5,5,31,3470614,1,1,1.0
TDY,0001094285,TDY,MEDIUM,5,5,117,3470614,1,1,1.0
TECH,0000842023,TECH,MEDIUM,4,4,21,2701747,1,1,1.0
TEL,0001385157,TEL,MEDIUM,5,4,39,3470614,1,1,0.8
TER,0000097210,TER,HIGH,5,5,33,3470614,1,1,1.0
TFC,0000092230,TFC,MEDIUM,5,5,188,3470614,1,1,1.0
TFX,0000096943,TFX,HIGH,4,4,65,2873133,1,1,1.0
TGT,0000027419,TGT,HIGH,5,0,0,3470614,0,0,0.0
TJX,0000109198,TJX,MEDIUM,5,1,1,3470614,1,0,0.2
TKO,0001973266,TKO,MEDIUM,1,1,1,597481,1,0,1.0
TMO,0000097745,TMO,LOW,5,5,438,3470614,1,1,1.0
TMUS,0001283699,TMUS,LOW,5,1,3,3470614,1,0,0.2
TPL,0001811074,TPL,LOW,1,1,5,597481,1,0,1.0
TPR,0001116132,TPR,HIGH,5,5,37,3470614,1,1,1.0
TRGP,0001389170,TRGP,MEDIUM,3,3,17,2112131,1,1,1.0
TRMB,0000864749,TRMB,HIGH,4,4,36,2701747,1,1,1.0
TROW,,TROW,LOW,5,5,40,3470614,1,1,1.0
TRV,0000086312,TRV,LOW,5,0,0,3470614,0,0,0.0
TSCO,0000916365,TSCO,MEDIUM,5,5,151,3470614,1,1,1.0
TSLA,0001318605,TSLA,HIGH,5,5,1655,3470614,1,1,1.0
TSN,0000100493,TSN,LOW,5,5,493,3470614,1,1,1.0
TT,0001466258,TT,MEDIUM,5,2,3,3470614,1,1,0.4
TTD,0001671933,TTD,LOW,1,0,0,597481,0,0,0.0
TTWO,0000946581,TTWO,LOW,5,0,0,3470614,0,0,0.0
TWTR,0001418091,TWTR,HIGH,2,2,81164,1358483,1,1,1.0
TXN,0000097476,TXN,MEDIUM,5,5,593,3470614,1,1,1.0
TXT,0000217346,TXT,HIGH,5,5,53,3470614,1,1,1.0
TYL,0000860731,TYL,MEDIUM,5,5,55,3470614,1,1,1.0
UA,0001336917,UA,LOW,2,0,0,1358483,0,0,0.0
UAA,0001336917,UAA,LOW,2,0,0,1358483,0,0,0.0
UAL,0000100517,UAL,MEDIUM,5,5,120,3470614,1,1,1.0
UBER,0001543151,UBER,MEDIUM,2,2,80,1293786,1,1,1.0
UDR,0000074208,UDR,HIGH,5,1,1,3470614,1,0,0.2
UHS,0000352915,UHS,LOW,5,0,0,3470614,0,0,0.0
ULTA,0001403568,ULTA,MEDIUM,5,5,28,3470614,1,1,1.0
UNH,0000731766,UNH,MEDIUM,5,5,857,3470614,1,1,1.0
UNM,0000005513,UNM,MEDIUM,1,1,6,768867,1,0,1.0
UNP,0000100885,UNP,MEDIUM,5,5,686,3470614,1,1,1.0
UPS,0001090727,UPS,LOW,5,5,309,3470614,1,1,1.0
URI,0001067701,URI,MEDIUM,5,5,36,3470614,1,1,1.0
USB,0000036104,USB,MEDIUM,5,5,319,3470614,1,1,1.0
V,0001403161,V,LOW,5,5,3163,3470614,1,1,1.0
VAR,0000203527,VAR,LOW,1,1,9,768867,1,0,1.0
VFC,0000103379,VFC,HIGH,3,1,2,2176828,1,0,0.3333333333333333
VICI,0001705696,VICI,MEDIUM,3,3,10,2112131,1,1,1.0
VLO,,VLO,MEDIUM,5,5,409,3470614,1,1,1.0
VLTO,0001967680,VLTO,HIGH,2,0,0,1293786,0,0,0.0
VMC,0001396009,VMC,MEDIUM,5,5,45,3470614,1,1,1.0
VNO,0000899689,VNO,LOW,2,2,4,1358483,1,1,1.0
VNT,0001786842,VNT,HIGH,1,1,2,768867,1,0,1.0
VRSK,0001442145,VRSK,MEDIUM,5,3,19,3470614,1,1,0.6
VRSN,0001014473,VRSN,HIGH,5,4,21,3470614,1,1,0.8
VRTX,0000875320,VRTX,MEDIUM,5,5,112,3470614,1,1,1.0
VST,0001692819,VST,HIGH,2,2,26,1293786,1,1,1.0
VTR,0000740260,VTR,HIGH,5,3,5,3470614,1,1,0.6
VTRS,0001792044,VTRS,HIGH,5,5,56,3470614,1,1,1.0
VZ,0000732712,VZ,MEDIUM,5,5,456,3470614,1,1,1.0
WAB,0000943452,WAB,HIGH,5,0,0,3470614,0,0,0.0
WAT,,WAT,HIGH,5,4,10,3470614,1,1,0.8
WBA,0001618921,WBA,LOW,4,4,247,2873133,1,1,1.0
WBD,0001437107,WBD,LOW,4,4,131,2701747,1,1,1.0
WDAY,0001327811,WDAY,HIGH,1,1,2,597481,1,0,1.0
WDC,0000106040,WDC,MEDIUM,5,5,86,3470614,1,1,1.0
WEC,0000783325,WEC,LOW,5,2,3,3470614,1,1,0.4
WELL,0000766704,WELL,HIGH,5,4,27,3470614,1,1,0.8
WFC,0000072971,WFC,MEDIUM,5,0,0,3470614,0,0,0.0
WHR,0000106640,WHR,HIGH,3,3,68,2176828,1,1,1.0
WM,0000823768,WM,MEDIUM,5,5,70,3470614,1,1,1.0
WMB,,WMB,MEDIUM,5,2,2,3470614,1,1,0.4
WMT,0000104169,WMT,HIGH,5,5,352,3470614,1,1,1.0
WRB,0000011544,WRB,MEDIUM,5,5,23,3470614,1,1,1.0
WSM,0000719955,WSM,MEDIUM,1,1,41,597481,1,0,1.0
WST,0000105770,WST,LOW,5,0,0,3470614,0,0,0.0
WTW,0001140536,WTW,LOW,5,3,43,3470614,1,1,0.6
WU,0001365135,WU,LOW,1,1,54,768867,1,0,1.0
WY,0000106535,WY,HIGH,5,2,2,3470614,1,1,0.4
WYNN,0001174922,WYNN,MEDIUM,5,5,172,3470614,1,1,1.0
XEL,0000072903,XEL,MEDIUM,5,5,387,3470614,1,1,1.0
XLNX,0000743988,XLNX,HIGH,1,1,65,768867,1,0,1.0
XOM,0000034088,XOM,HIGH,5,5,257,3470614,1,1,1.0
XRAY,0000818479,XRAY,MEDIUM,3,3,40,2176828,1,1,1.0
XRX,0001770450,XRX,HIGH,1,0,0,768867,0,0,0.0
XYL,0001524472,XYL,HIGH,5,5,61,3470614,1,1,1.0
XYZ,0001512673,XYZ,HIGH,1,1,5,597481,1,0,1.0
YUM,0001041061,YUM,MEDIUM,5,5,33,3470614,1,1,1.0
ZBH,0001136869,ZBH,MEDIUM,5,5,76,3470614,1,1,1.0
ZBRA,0000877212,ZBRA,LOW,5,5,71,3470614,1,1,1.0
ZION,0001642140,ZION,MEDIUM,3,0,0,2176828,0,0,0.0
ZTS,0001555280,ZTS,HIGH,5,5,77,3470614,1,1,1.0
