target_type,priority_rank,security_key,project_ticker,analysis_month_number,ranking_month_end_date,evidence_id,evidence_date,source_type,source_organization,source_title,source_url,primary_source_flag,event_scope,event_category,timing_relation_to_ranking,evidence_summary,short_quote_max_25_words,provisional_theme_code,supports_cross_sector_commonality_flag,confidence_level,researcher_notes
SECURITY,11,TSLA,TSLA,,,SEC-TSLA-001,2024-01-02,COMPANY_IR,"Tesla, Inc.",Tesla Vehicle Production & Deliveries and Date for Financial Results & Webcast for Fourth Quarter 2023,https://ir.tesla.com/press-release/tesla-vehicle-production-deliveries-and-date-financial-results-webcast-fourth-quarter-2023,YES,COMPANY_SPECIFIC,Electric-vehicle production scale,BACKGROUND,"Tesla reported 2023 vehicle deliveries of about 1.81 million, up 38% year over year, and production of about 1.85 million, up 35%, documenting rapid physical scale-up in its core electric-vehicle platform.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,11,TSLA,TSLA,,,SEC-TSLA-002,2025-01-29,COMPANY_IR,"Tesla, Inc.",Q4 and Full Year 2024 Update,https://ir.tesla.com/_flysystem/s3/sec/000162828025002993/tsla-20250129-gen.pdf,YES,COMPANY_SPECIFIC,AI compute and energy-storage expansion,BACKGROUND,"Tesla reported increasing AI training compute by more than 400% in 2024, record fourth-quarter vehicle deliveries and energy-storage deployments, and significant investment in AI compute, energy-storage manufacturing, and new vehicle capacity.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,12,MPC,MPC,,,SEC-MPC-001,2022-02-02,COMPANY_IR,Marathon Petroleum Corporation,Marathon Petroleum Corp. Reports Fourth-Quarter 2021 Results,https://ir.marathonpetroleum.com/investor/news-releases/news-details/2022/Marathon-Petroleum-Corp.-Reports-Fourth-Quarter-2021-Results/default.aspx,YES,COMPANY_SPECIFIC,Renewable-fuels conversion and capital returns,BACKGROUND,"Marathon Petroleum highlighted completion of the Speedway sale, start-up of the Dickinson renewable-diesel facility, and conversion of the Martinez refinery toward renewable fuels while continuing a large share-repurchase program.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,12,MPC,MPC,,,SEC-MPC-002,2023-01-31,COMPANY_IR,Marathon Petroleum Corporation,Marathon Petroleum Corp. Reports Fourth-Quarter and Full-Year 2022 Results,https://ir.marathonpetroleum.com/investor/news-releases/news-details/2023/Marathon-Petroleum-Corp.-Reports-Fourth-Quarter-and-Full-Year-2022-Results/default.aspx,YES,COMPANY_SPECIFIC,Refining cash generation and low-carbon investment,BACKGROUND,"Marathon Petroleum reported $16.4 billion of 2022 operating cash flow, $13.2 billion of capital returned to shareholders, and said roughly 40% of its 2023 growth capital was allocated to low-carbon projects.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,13,FCX,FCX,,,SEC-FCX-001,2024-02-16,SEC_FILING,Freeport-McMoRan Inc. / U.S. Securities and Exchange Commission,Freeport-McMoRan 2023 Form 10-K,https://www.sec.gov/Archives/edgar/data/831259/000083125924000011/fcx-20231231.htm,YES,COMPANY_SPECIFIC,Copper demand from electrification and energy transition,BACKGROUND,"Freeport stated that long-term copper fundamentals were favorable and tied expected demand growth to renewable power, electric vehicles, carbon-reduction initiatives, urbanization, and increasing connectivity.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,13,FCX,FCX,,,SEC-FCX-002,2025-02-14,SEC_FILING,Freeport-McMoRan Inc. / U.S. Securities and Exchange Commission,Freeport-McMoRan 2024 Form 10-K,https://www.sec.gov/Archives/edgar/data/831259/000083125925000006/fcx-20241231.htm,YES,COMPANY_SPECIFIC,Copper exposure to data centers and AI infrastructure,BACKGROUND,"Freeport's 2024 filing added data centers and artificial-intelligence developments to the structural demand drivers for copper, alongside electrification, renewable power, EVs, and global connectivity.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,14,CF,CF,,,SEC-CF-001,2023-02-15,COMPANY_IR,"CF Industries Holdings, Inc.","CF Industries Holdings, Inc. Reports Full Year 2022 Net Earnings of $3.35 Billion, Adjusted EBITDA of $5.88 Billion",https://investor.cfindustries.com/Investors/news/news-details/2023/CF-Industries-Holdings-Inc.-Reports-Full-Year-2022-Net-Earnings-of-3.35-Billion-Adjusted-EBITDA-of-5.88-Billion/default.aspx,YES,COMPANY_SPECIFIC,"Nitrogen scarcity, energy spreads, and fertilizer pricing",BACKGROUND,"CF Industries attributed substantially higher 2022 selling prices to reduced global nitrogen supply, high global energy costs, and geopolitical disruption, with wide energy-cost differentials supporting North American producer margins.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,14,CF,CF,,,SEC-CF-002,2023-01-17,COMPANY_IR,"CF Industries Holdings, Inc.","CF Industries Signs MOU with JERA for Supply of up to 500,000 Metric Tonnes Per Year of Clean Ammonia",https://www.cfindustries.com/newsroom/2023/jera-mou,YES,COMPANY_SPECIFIC,Clean-ammonia energy-transition optionality,BACKGROUND,"CF Industries and JERA agreed to assess supply of up to 500,000 tonnes per year of clean ammonia for power-generation co-firing and potential development of new low-carbon ammonia capacity in Louisiana.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,15,TRGP,TRGP,,,SEC-TRGP-001,2024-02-15,COMPANY_IR,Targa Resources Corp.,Targa Resources Corp. Reports Record Fourth Quarter and Full Year 2023 Financial Results,https://www.targaresources.com/news-releases/news-release-details/targa-resources-corp-reports-record-fourth-quarter-and-full-year,YES,COMPANY_SPECIFIC,Permian and NGL infrastructure expansion,BACKGROUND,"Targa reported record Permian gathering, NGL transportation, fractionation, and LPG export volumes in 2023 and outlined additional plants, fractionators, and pipeline capacity expected to support further growth.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,15,TRGP,TRGP,,,SEC-TRGP-002,2025-02-20,SEC_FILING,Targa Resources Corp. / U.S. Securities and Exchange Commission,Targa Resources 2024 Form 10-K,https://www.sec.gov/Archives/edgar/data/1389170/000095017025023983/trgp-20241231.htm,YES,COMPANY_SPECIFIC,Fee-based midstream network and NGL connectivity,BACKGROUND,"Targa's 2024 Form 10-K describes a large domestic midstream infrastructure network centered on Permian gathering and processing, the Grand Prix NGL pipeline, fractionation, storage, and export connectivity.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
