analysis_month_number,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
1,0.0036434956068813057,-0.037812077240581235,0.0010483787208723939,-0.1150633685836342,-0.0071682783638909175,-0.008829546022113811,0.01370920784335461,-0.01574793994985236,-0.024301564783252835,-0.08292746484527713,-0.01882645336476247
2,-0.10962023830103655,-0.01054752821086153,-0.0046237130387417336,-0.02705424750866486,-0.01608976129032276,-0.04909789241471163,-0.0018368978674171005,-0.05088353475324169,-0.07425268841643608,0.00942597291489635,-0.057153570369557136
3,-0.09324191482681526,-0.003510497165209979,0.04094185509201828,0.014229239173562152,0.03966468723130203,0.024807734075843135,-0.014782278166904236,-0.024276528335079765,0.016551507020575437,0.007392890508606559,-0.019286476326486404
4,-0.004615775193184308,0.013289510010382026,-0.021782120239743817,-0.00433431070608975,0.02599340154658398,-0.009972691726417956,0.0034286563256285853,0.003447640734289545,0.042993815973556296,0.022829157298260374,-0.007567745784878347
5,0.019340629978651283,-0.006903466372930301,-0.038293508237987106,0.09735514268749831,-0.030494726880729506,0.021671972508124426,0.0080606494809389,-0.011995656024431513,-0.03181313740628533,-0.04706975870237855,-0.009330204074918082
6,-0.009125697873560431,-0.05943637133474677,-0.02431196894082555,-0.02559783117418446,-0.026174063409965094,0.0414418746003295,-0.013619880097701011,-0.021118052898148307,0.050890470667139594,-0.01365060271010687,-0.010711690950403481
7,-0.033515189775701795,0.008758588603679524,0.0014382376284333715,0.03968766002186711,0.019495616178156018,0.026011254484706606,0.009428049536680246,0.021824418530004833,0.031041078905033465,0.015997710490266128,-0.006260309996937146
8,-0.001331856603487995,0.02209777573615007,-0.023779340761665445,0.044900120289938936,0.020651987892668665,-0.01856994432605938,-0.002498411582444071,-0.007071189874380553,-0.03824243113959504,0.02643904965838466,0.020250444765886673
9,0.048368356525837694,0.004238072421310038,-0.023768279992056142,0.026952383544236888,-0.0071543657519449536,-0.002025412194745828,0.0005160966935816441,0.059555483384338186,0.05156271564468852,0.009753435001192912,0.009283585865228108
10,-0.016299612754319744,-0.007164852919549783,-0.037863102502957637,0.029567882632889342,-0.026997479611671767,-0.017389521140835557,-0.025388636557132024,0.03401905864993479,-0.016007060677576665,-0.0007353104846660845,-0.014366855013781137
