stage,gics_sector,pc1_loading,pc2_loading
RAW_WINNER,Communication Services,0.2817628275344251,-0.42488260843639175
RAW_WINNER,Consumer Discretionary,0.3494011823927846,-0.2030426391610011
RAW_WINNER,Consumer Staples,0.2613920344345749,0.510757749259996
RAW_WINNER,Energy,0.19212510731377808,0.1966167483775904
RAW_WINNER,Financials,0.3158587730394543,0.16602867232928614
RAW_WINNER,Health Care,0.30212894007979585,0.0443148299650746
RAW_WINNER,Industrials,0.35803615874684164,-0.05573364943891887
RAW_WINNER,Information Technology,0.2713042767819383,-0.6150486544053615
RAW_WINNER,Materials,0.3205380063161102,0.17775385305048258
RAW_WINNER,Real Estate,0.3334372753930805,0.16184185227425382
RAW_WINNER,Utilities,0.2941446542288184,0.10003600842382299
ACTIVE_VS_SECTOR,Communication Services,0.3164987357747285,-0.10374994420508671
ACTIVE_VS_SECTOR,Consumer Discretionary,0.3175176335198071,0.3909911152100678
ACTIVE_VS_SECTOR,Consumer Staples,0.23193852880719196,-0.18933536321521627
ACTIVE_VS_SECTOR,Energy,0.177875348515449,-0.42817951681036037
ACTIVE_VS_SECTOR,Financials,0.3449954037995581,0.18482685495706705
ACTIVE_VS_SECTOR,Health Care,0.3601915125339219,0.058900579959399194
ACTIVE_VS_SECTOR,Industrials,0.38203271377324544,0.40813619672353213
ACTIVE_VS_SECTOR,Information Technology,0.3702893294463813,-0.0848251100897787
ACTIVE_VS_SECTOR,Materials,0.15595138557275376,-0.5970431058277202
ACTIVE_VS_SECTOR,Real Estate,0.2883123918557464,-0.14426248026639865
ACTIVE_VS_SECTOR,Utilities,0.272595259869836,-0.16882975473786435
RESIDUAL_SPY_PLUS_SECTOR,Communication Services,0.28369145673498397,-0.032839294168208605
RESIDUAL_SPY_PLUS_SECTOR,Consumer Discretionary,0.26786572038262424,0.4757002645445991
RESIDUAL_SPY_PLUS_SECTOR,Consumer Staples,0.21610333033211512,-0.2323699090091021
RESIDUAL_SPY_PLUS_SECTOR,Energy,0.20548836907777174,-0.35641620775116234
RESIDUAL_SPY_PLUS_SECTOR,Financials,0.3579042642709648,0.06250498660751165
RESIDUAL_SPY_PLUS_SECTOR,Health Care,0.3838237468443188,-0.005017827375160849
RESIDUAL_SPY_PLUS_SECTOR,Industrials,0.42505774936507085,0.39664952030796696
RESIDUAL_SPY_PLUS_SECTOR,Information Technology,0.37366007956390607,-0.047950224863951674
RESIDUAL_SPY_PLUS_SECTOR,Materials,0.14693692753275123,-0.5661729334497474
RESIDUAL_SPY_PLUS_SECTOR,Real Estate,0.23480003074634231,-0.3272717941176821
RESIDUAL_SPY_PLUS_SECTOR,Utilities,0.29395136080889617,-0.019540100987432057
