target_type,priority_rank,security_key,project_ticker,analysis_month_number,ranking_month_end_date,evidence_id,evidence_date,source_type,source_organization,source_title,source_url,primary_source_flag,event_scope,event_category,timing_relation_to_ranking,evidence_summary,short_quote_max_25_words,provisional_theme_code,supports_cross_sector_commonality_flag,confidence_level,researcher_notes
SECURITY,21,WMB,WMB,,,SEC-WMB-001,2024-02-14,COMPANY_IR,"The Williams Companies, Inc.",Williams Delivers Another Year of Record Results,https://investor.williams.com/news-releases/news-release-details/williams-delivers-another-year-record-results-company-host,YES,COMPANY_SPECIFIC,Natural-gas transmission and storage scale,BACKGROUND,"Williams reported record gathering volumes and 32.3 Bcf/d of contracted transmission capacity in 2023, with Transco expansion projects and strategic gas-storage/transmission acquisitions supporting future growth.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,21,WMB,WMB,,,SEC-WMB-002,2024-12-30,COMPANY_IR,"The Williams Companies, Inc.",Williams Announces Transco’s Southside Reliability Enhancement Now in Full Service,https://investor.williams.com/news-releases/news-release-details/williams-announces-transcos-southside-reliability-enhancement,YES,COMPANY_SPECIFIC,Natural-gas infrastructure for data-center and industrial load,BACKGROUND,"Williams placed a 423,400 Dth/d Transco expansion into service and explicitly connected accelerating U.S. gas demand to LNG exports, data-center power load growth, and reshoring of energy-intensive manufacturing.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,22,SPG,SPG,,,SEC-SPG-001,2024-02-22,COMPANY_IR,"Simon Property Group, Inc.",Simon Property Group 2023 Annual Report,https://investors.simon.com/static-files/ba46ac1b-1e21-43f7-bab0-d5ce1efe995d,YES,COMPANY_SPECIFIC,High-occupancy retail real estate and redevelopment,BACKGROUND,"Simon reported record 2023 FFO and domestic property NOI, 95.8% occupancy in U.S. malls and Premium Outlets, and continued redevelopment and mixed-use additions while describing favorable supply-demand conditions.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,22,SPG,SPG,,,SEC-SPG-002,2025-02-04,COMPANY_IR,"Simon Property Group, Inc.",Simon Reports Fourth Quarter and Full Year 2024 Results,https://simonpg.gcs-web.com/node/23186/pdf,YES,COMPANY_SPECIFIC,Leasing strength and destination redevelopment,BACKGROUND,"Simon reported record 2024 FFO near $4.9 billion, executed more than 21 million square feet of leases, delivered 16 major redevelopment projects, and grew domestic property NOI 4.7%.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,23,RCL,RCL,,,SEC-RCL-001,2024-02-01,SEC_FILING,Royal Caribbean Group / U.S. Securities and Exchange Commission,Royal Caribbean Group Reports 2023 Results and Expects Record Earnings in 2024 on Strong Demand,https://www.sec.gov/Archives/edgar/data/884887/000088488724000003/a10k2023earningsrelease8-k.htm,YES,COMPANY_SPECIFIC,Experiential travel demand rebound and pricing,BACKGROUND,"Royal Caribbean reported 2023 results above guidance due to stronger close-in demand and entered 2024 with record bookings and a record booked position, documenting a strong post-pandemic travel-demand cycle.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,23,RCL,RCL,,,SEC-RCL-002,2025-01-28,SEC_FILING,Royal Caribbean Group / U.S. Securities and Exchange Commission,Royal Caribbean Group Reports 2024 Results and Issues 2025 Guidance,https://www.sec.gov/Archives/edgar/data/884887/000088488725000003/a10k2024earningsrelease8-k.htm,YES,COMPANY_SPECIFIC,Persistent experiential demand and pricing power,BACKGROUND,"Royal Caribbean reported 2024 revenue of $16.5 billion, higher pricing and onboard revenue, and its best five booking weeks in company history, showing that elevated vacation demand persisted beyond reopening.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,24,WBD,WBD,,,SEC-WBD-001,2024-02-23,SEC_FILING,"Warner Bros. Discovery, Inc. / U.S. Securities and Exchange Commission",Warner Bros. Discovery Q4 and Full-Year 2023 Earnings Release,https://www.sec.gov/Archives/edgar/data/1437107/000143710724000013/wbd4q23earningsreleasefi.htm,YES,COMPANY_SPECIFIC,Streaming turnaround and merger integration,BACKGROUND,"Warner Bros. Discovery reported 2023 DTC adjusted EBITDA of $103 million versus a $1.596 billion loss in 2022, a material improvement associated with revenue growth, marketing efficiency, and lower content expense.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,24,WBD,WBD,,,SEC-WBD-002,2024-11-07,SEC_FILING,"Warner Bros. Discovery, Inc. / U.S. Securities and Exchange Commission",Warner Bros. Discovery Q3 2024 Earnings Release,https://www.sec.gov/Archives/edgar/data/1437107/000143710724000184/wbd3q24earningsreleasefi.htm,YES,COMPANY_SPECIFIC,Global streaming subscriber expansion,BACKGROUND,"WBD reported 110.5 million global DTC subscribers at Q3 2024, up 7.2 million sequentially, its largest quarterly subscriber increase since Max launched, with growth across regions.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,25,ADM,ADM,,,SEC-ADM-001,2023-01-26,COMPANY_IR,Archer-Daniels-Midland Company,ADM Reports Fourth Quarter 2022 Earnings,https://investors.adm.com/news/news-details/2023/ADM-Reports-Fourth-Quarter-Earnings-per-Share-of-1.84-1.93-on-an-Adjusted-Basis-Increasing-Quarterly-Dividend-12.5-to-0.45-per-share/default.aspx,YES,COMPANY_SPECIFIC,Global agricultural processing and nutrition resilience,BACKGROUND,"ADM reported adjusted segment operating profit of $6.6 billion for 2022, cited its agricultural business supporting the global food system amid external shocks, and reported continued Nutrition and BioSolutions growth.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,25,ADM,ADM,,,SEC-ADM-002,2024-03-12,COMPANY_IR,Archer-Daniels-Midland Company,ADM Reports Fourth Quarter Earnings and Full-Year 2023 Results,https://investors.adm.com/news/news-details/2024/ADM-Reports-Fourth-Quarter-Earnings-and-Full-Year-2023-Results-Provides-2024-Guidance/default.aspx,YES,COMPANY_SPECIFIC,Diversified food/agriculture platform and cash generation,BACKGROUND,"ADM reported 2023 adjusted segment operating profit of $6.244 billion and emphasized the resilience of its global footprint, productivity and innovation agenda, and continued cash generation.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
